repeat_idx,case_idx,initial_gap_m,lead_target_speed_mps,ego_target_speed_mps,final_gap_m,delta_gap_m,final_lead_speed_mps,final_ego_speed_mps,settled,collision,settle_time_s,ticks_executed,spawn_ok,error
0,81,23.5,2.25,5.0,3.9674017275794835,-19.532598272420515,1.9511321755731195,4.847660387304328,0,0,nan,160,1,
0,82,24.0,2.25,5.0,3.9928984154665432,-20.00710158453346,1.9540409260422484,4.848761121259302,0,0,nan,160,1,
0,83,24.5,2.25,5.0,4.9732634236766025,-19.526736576323398,1.9538142969763639,4.84806329681624,0,0,nan,160,1,
0,84,25.0,2.25,5.0,4.977725798251848,-20.022274201748154,1.9515030752264795,4.8484488083842265,0,0,nan,160,1,
0,85,25.5,2.25,5.0,6.027924778740443,-19.47207522125956,1.9539342363638836,4.848736802565517,0,0,nan,160,1,
0,86,26.0,2.25,5.0,5.967345123309482,-20.03265487669052,1.954167752535578,4.848063295647052,0,0,nan,160,1,
0,87,26.5,2.25,5.0,6.962642599644187,-19.537357400355813,1.9495539441479752,4.848451084542307,0,0,nan,160,1,
0,88,27.0,2.25,5.0,7.04644277078118,-19.95355722921882,1.949577494240427,4.849311870480076,0,0,nan,160,1,
0,89,27.5,2.25,5.0,7.9613288523504515,-19.53867114764955,1.9495862916731959,4.848058094195875,0,0,nan,160,1,
0,90,28.0,2.25,5.0,7.941699776628269,-20.05830022337173,1.9511702209026753,4.848449104788163,0,0,nan,160,1,
0,91,28.5,2.25,5.0,9.041648133366325,-19.458351866633677,1.9496028859587602,4.848759690825124,0,0,nan,160,1,
0,92,29.0,2.25,5.0,8.967399479420537,-20.032600520579464,1.9495420020236305,4.848673014253931,0,0,nan,160,1,
0,93,29.5,2.25,5.0,9.924632901970735,-19.575367098029265,1.951508522403495,4.848447328999312,0,0,nan,160,1,
0,94,30.0,2.25,5.0,10.036538894049386,-19.963461105950614,1.9496922928568254,4.848145523393822,0,0,nan,160,1,
0,95,30.5,2.25,5.0,10.952302567417837,-19.54769743258216,1.9539870306189475,4.848061865600007,0,0,nan,160,1,
0,96,31.0,2.25,5.0,11.099298536644207,-19.900701463355794,1.9780688931411363,4.847872643368605,0,0,nan,160,1,
0,97,31.5,2.25,5.0,12.04096963048913,-19.45903036951087,1.9495740371852053,4.84875253820607,0,0,nan,160,1,
0,98,32.0,2.25,5.0,11.949773726785956,-20.050226273214044,1.9496026255112862,4.84806281960244,0,0,nan,160,1,
0,99,8.0,2.5,5.0,-0.06282898858809371,-8.062828988588095,3.826963669036206,3.0035057879051994,0,1,nan,84,1,
0,100,8.5,2.5,5.0,-0.04483417273797574,-8.544834172737975,3.696395383400902,3.223863974473663,0,1,nan,93,1,
0,101,9.0,2.5,5.0,-0.056951515629871885,-9.056951515629873,3.6306940969601103,3.2985892679889908,0,1,nan,92,1,
0,102,9.5,2.5,5.0,-0.05956977833263988,-9.55956977833264,3.7625724111698986,3.140354306218366,0,1,nan,99,1,
0,103,10.0,2.5,5.0,-0.05205579118330039,-10.0520557911833,3.7625778293252967,3.1430789557487007,0,1,nan,99,1,
0,104,10.5,2.5,5.0,-0.042268111612632,-10.542268111612632,3.5980232527021747,3.3981246427943943,0,1,nan,107,1,
0,105,11.0,2.5,5.0,-0.04949169811662468,-11.049491698116626,3.612277602412539,3.4046542523865146,0,1,nan,107,1,
0,106,11.5,2.5,5.0,-0.034307198901187164,-11.534307198901187,3.716613632537445,3.256981869300344,0,1,nan,114,1,
0,107,12.0,2.5,5.0,-0.0526220757440905,-12.05262207574409,3.7272303156885727,3.2718414299613903,0,1,nan,114,1,
0,108,12.5,2.5,5.0,-0.04723197776282184,-12.547231977762822,3.6215522308713965,3.4209613588600867,0,1,nan,122,1,
0,109,13.0,2.5,5.0,-0.053318371605753256,-13.053318371605753,3.6198140326318944,3.4221115519102834,0,1,nan,122,1,
